id	qid1	qid2	question1	question2	is_duplicate	
11602	22396	22397	Why does my pee smell like fish?	Why does urine smell like fish?	1	0	0.9746475
271210	27450	389251	What are some good dares for texting?	What is a good text book for a lawyer?	0	0	0.6774706
40737	73659	73660	What's it like to become the president of the United States?	What is it like to speak with the President of the United States?	0	0	0.64852023
93965	53436	19315	Is it possible to change India's name into Hindustan or Bharath?	Should India change its name to Bharat/Hindustan?	1	0	0.9795964
195781	296328	296329	Is there an anti-French or anti-German sentiment in Belgium or Switzerland?	Do French speakers in Belgium and Switzerland consider themselves French?	0	0	0.98804957
8376	16332	16333	How do I start learning to code? Also,which programming language is recommended for beginners?	Which programming language to start with for a beginner and what are steps necessary to learn it?	1	0	0.77732635
365266	107886	495375	Is three months sufficient to prepare for the GRE?	How do I prepare for the GRE in 2 months? Can anyone suggest books?	0	0	0.7351112
266885	384131	384132	Which exam is difficult to clear: CA exams or CS exams?	Which exam is more difficult? IIT or CA exam?	0	0	0.8026963
182376	279142	279143	What effects does eating spicy food have on us?	What effects does eating spicy food have on animals?	0	1	0.50898945
253981	85132	15080	Can I see my deleted Snapchat history?	On Snapchat, how do I know if someone deleted me / removed me?	0	1	0.83189857
82129	139343	139344	What is neuro linguistic programming?	What is Neuro Linguistic programming (NLP)? What are its uses?	1	0	0.6593562
36000	65695	65696	Why are rechargeable AA batteries made to be 1.2V while alkalines are 1.5V?	Why can't I buy a 5v battery?	0	0	0.9971064
178469	274102	194186	How much do comedians make from comedy clubs per gig?	What does it feel like to bomb on stage as a stand-up comedian?	0	0	0.8298301
383303	515234	141880	Which is the smartest city in the world?	Which is the best city in the world?	0	1	0.7027438
90813	152331	71137	What is the corporate culture like at Owens Corning? How is the culture different than other companies?	What is the corporate culture like at Corning? How is the culture different than other companies?	0	0	0.9693756
47064	4479	84081	which laptop will be best under Rs 30,000?	I want a new laptop with maximum configuration under 30000?	1	1	0.7111451
153018	240282	240283	What are some things new employees should know going into their first day at Metals USA?	What are some things new employees should know going into their first day at Commercial Metals?	0	0	0.97468126
337945	465454	465455	How long can I keep a BigMac in my fridge before eating it?	How long do refried beans last in the fridge after you open the can?	0	0	0.94292897
240528	68963	7156	What are your views on the Brexit?	What is your opinion on brexit?	1	0	0.9807413
223891	331820	331821	Whether a Law graduate with PhD in science and having PG Diploma in IPR is required to write a Patent Agent Exam?	Whether a Law graduate with PhD in science and having PG Diploma in IPR is required to write a Patent Agent Exam in India?	0	0	0.99830914
259519	375293	375294	What are some funny stories in engineering?	What is your funny story?	0	0	0.77391297
60065	17544	863	What are the best books, topics, and ways to prepare for UGC NET English literature?	How do I prepare for Net JRF in English literature?	1	1	0.5187901
173947	40867	117775	How do I lose stubborn belly fat?	What's a good workout plan to lose belly fat?	1	1	0.9148681
346670	475049	475050	What are some tips on making it through the job interview process at Manhattan Associates (fresher)?	What are some tips on making it through the job interview process at Manhattan Associates?	1	0	0.980646
396011	529037	529038	What are the best books about books?	What are the best books?	0	1	0.86419207
382787	514678	514679	What if we cancel this election and extend the term of current president until we find civilized candidates?	How DOES the INSIDE of A WOMEN VAGINA FEELS DURNING SEX FROM A MAN PERSPECTIVE?	0	0	0.9841559
176487	190962	201381	What are the most common Android unlock patterns?	How do I unlock my Android mobile if I forget my lock pattern and don't have any security question?	0	0	0.8879497
52470	92893	92894	How do I find the email ID on Facebook of an unknown person?	Can a person read emails sent to his Facebook register id?	0	0	0.7712927
130525	209460	209461	What are the best alternatives to democracy?	What are some promising alternatives for democracy?	1	0	0.77281946
377040	508265	508266	Who among the famous people in India have a verified profile on Quora?	What are the verified profiles of known people from India on Quora?	1	0	0.68939334
151488	185533	238178	What does さあひる mean?	"What does ""脑洞大开"" mean?"	0	0	0.98194754
305337	428727	428728	What advice does Jon Skeet will give to a novice programmer to become a champ like him?	What advice can you give to a novice computer programmer?	1	0	0.7155182
26908	50023	50024	Where can I get nursery and baby prints on cotton fabric in Delhi?	Where in Delhi can I print great quality wedding cards?	0	0	0.93684345
9884	19196	2728	What are good gifts for a foreign visitor to bring when they're invited to someone's home in Belize for the first time?	What are good gifts for a foreign visitor to bring when they're invited to someone's home in Pakistan for the first time?	0	0	0.99429333
48194	85967	85968	What's so special about Grana?	Does Islam require women to wear Hijab? I read the Quran, and it only says that women should cover their bosom. Have I misinterpreted?	0	0	0.974427
174442	89483	268846	What is life like after clearing SSC CGL?	What is it like to work as a government officer after having cleared SSC CGL in India?	0	0	0.9890716
91211	152896	152897	Why have human beings evolved more than any other beings on Earth?	Why are human beings so intelligent compared to all the other kinds of animals?	1	0	0.7382123
42262	76190	76191	Would I need a different nail gun for dry walling, framing, and flooring or is there some model that can do all of these?	How laminate flooring is different from other flooring?	0	0	0.9959436
329973	115250	426308	What are some mind blowing tools and gadgets that mos't people dont know?	What are some mind blowing things that mos't people dont know?	1	1	0.83387226
187554	115045	285825	How did President Kennedy get away with the nepotism of appointing his brother Robert to the Attorney General post?	"Was John F. Kennedy a ""liberal"" president?"	0	0	0.9937371
69006	119138	119139	Is there any football club/team that is labeled 'underdog' and not so famous, yet managed to win the cup/title/league?	Can a club from the Football League do a cup treble?	0	0	0.9988146
56007	98647	98648	What are the best inDesign template sites for ePub design?	Which is the oldest civilization: Chinese, Egyptian, Mesopotamian, Mayan, Indus Valley, Other civilization?	0	0	0.95708346
82664	140113	140114	How can I search for a good video production company?	How can I search for a good video production company in Miami?	0	0	0.71106684
338030	57188	35270	How many keywords are there in PASCAL Programming Language in the latest version?	How many keywords are there in C++ Programming Language in the latest version?	0	0	0.9969896
174727	269201	269202	Where can I find footage taken from inside an aircraft flying over countryside at night?	Is it illegal to fly with a civilian plane over an aircraft carrier? What would happen if I would do that?	0	0	0.99753666
93084	155715	155716	What is a six-pointed star symbolic of?	What is a seven-pointed star symbolic of?	0	0	0.9165857
345224	473514	473515	The guy I'm seeing calls me adorable. Is this him telling me he isn't that attracted to me?	I asked him to call me but he didn't, should I leave him?	0	0	0.8297845
31578	58208	19339	What is a rough endoplasmic reticulum?	What is the main function of the rough endoplasmic reticulum?	1	1	0.9123598
288941	409978	70005	What do you eat for breakfast usually?	What should I eat for breakfast?	0	1	0.7617227
312454	5166	5517	What products should I use to get rid of acne quickly?	How do I get rid of my acne and get nice skin?	1	1	0.83367187
152425	239479	239480	Which one is the best medical school in Turkey?	What are the best medical schools in Turkey?	1	0	0.89931434
81086	137737	137738	What are the best CrossFit workouts on YouTube?	What are the best CrossFit workouts?	0	1	0.79482096
182715	277834	279580	When is iOS 10 coming out?	When is iOS 8 coming out?	0	1	0.70237064
255443	370341	370342	When hiking in the woods or fields, what would cause distinct cold spots with significant differences in temperature?	What is worth more, a CS degree or an Electrical Engineering degree?	0	0	0.9985091
173762	267978	267979	What does it mean if you start spotting 9 days before your period?	What does it mean if you start spotting 8 days before your period?	0	0	0.6774817
117536	169913	191240	What are the top 10 TV series one should genuinely watch?	What are some good TV shows I can watch?	1	1	0.6081635
244390	357012	357013	What does 'mahol' mean, especially in Nagpur?	"What does the word ""Ras"" mean or denote in Hindi? Especially in context of Ras Jai Baba."	0	0	0.99842
192723	15758	292430	What are the best novels to read while preparing for the CAT?	What are some sci-fi novels that really make you think?	0	0	0.914196
120364	195227	160783	Why is it socially acceptable for a black individuals to exclaim pride in their ethnicity publicly, yet for white individuals it is not?	Why are Black pride, gay pride and Asian pride all viewed positively but white pride is viewed negatively?	0	0	0.8709792
141916	225177	225178	Why is Thailand's total fertility rate so low (1.4)?	Why are employment rates in Thailand so low?	0	0	0.9541105
117627	1863	191368	Did Trump win the election?	What will you do now that Donald Trump is the President?	0	1	0.9471502
65999	114456	114457	Has anyone completed CAIA exam from India?	Has anyone from India ever been to Tajikistan?	0	1	0.71666235
12623	24307	24308	Where can I buy first copy shoes in mumbai?	Where, in Bangalore one can find first copy shoes?	0	1	0.5990377
74928	128325	128326	What is the best place to work for among the following Indian start-ups/companies and why?	I want to know which place is best for an Indian to work having degree but no experience?	0	0	0.9344933
55141	97242	97243	What are some major and minor problems being faced by middle class Indians?	How can an Indian middle-class family save money?	0	0	0.9886086
317416	188034	104640	What are some things new employees should know going into their first day at Diamond Foods?	What are some things new employees should know going into their first day at Flowers Foods?	0	0	0.97665
87014	146621	146622	What are the differences between the aorta and the vena cava?	When does a baby heart start beating?	0	0	0.9915113
183547	151055	94951	Do spirts or ghosts exist?	Do spirits really exist?	1	1	0.8531601
342804	461113	470827	What are the names of months as per the Hindu calendar, and what is their significance vis-à-vis festivals or rituals?	Is there such a thing as a Hindu name?	0	0	0.9972414
156062	244343	244344	What if humans never invented clothes?	What if humans never invented cloth or skin clothes?	1	1	0.80880886
43275	77863	77864	Why is it that it is so important for some people not to let other drivers over when in traffic? Why don't people realize that being nice makes for a better society?	Do Turkish people realize that Erdoğan tries to become a tyrant?	0	0	0.94253
9561	18570	18571	How do I stop falling in love too fast?	How can you stop falling in love?	0	1	0.7540379
254863	369673	369674	Which is better for gaming: Nvidia GeForce GT 840M 2GB or Nvidia GeForce GT 920?	What types of games can be played with 2 GB DDR3 NVIDIA Geforce GT 840M graphics card?	0	0	0.99442035
33775	61990	61991	What is the quality of Wayfair's products? Is it comparable at similar price points to that of traditional furniture retailers?	Why is the institutional price of a product higher than the retail price even if both products are of the same brand and quantity/weight?	0	0	0.9974324
145059	209099	229436	Where can I get best photo booth packages in Sydney?	Where can I get best Bespoke photo booth package in Sydney?	0	1	0.5268805
175684	270459	270460	Is there ever a time when you should not let go? (of someone)	When is enough time to let go of someone?	0	1	0.581608
288551	156738	279522	Someone on snapchat added me by snap code and I don't know who they are. How did they do that?	If someone adds you on snapchat, and you don't add them back, how will you know if they have un added you?	0	0	0.5814767
35669	65146	65147	When you plan a vacation, do you plan it yourself or use a travel agent?	When you are designing/planning a mobile application for yourself or a client, where does mobile security come into the plan?	0	0	0.97355527
21072	39702	39703	How do I contact a mobile tower installation company on my plot or building in Agra?	What should I do to get cellular companies to install a mobile tower on my plot of land in India?	0	0	0.98336524
198253	299417	299418	Which is the best online website to learn MATLAB?	What are some free online courses to learn MATLAB?	0	1	0.7424739
150563	103368	236951	I'm planning on starting a YouTube gaming channel but I lack Confidence, do you have any words of encouragement or helpful tips, including experience?	I plan on starting a YouTube channel but lack confidence, any words of encouragement or helpful tips, including your own experiences?	1	1	0.95358413
292421	162963	109251	What hotel booking site gets the best deals?	What is the best hotel booking service?	1	1	0.58462244
248399	78676	361821	What are good ways to stop corruption in India?	What are good ways to survive in an incorrigibly corrupt state like India?	0	0	0.954693
378388	509782	224942	When should I start preparing for SSC CGL 2017?	How should I start preparing for SSC CGL 2017?	1	1	0.9461665
270507	388409	388410	Who is doing CPA Marketing full time? What course would you recommend? Thanks	I'm an Indian. A reputed US employer has offered a full time marketing job, but has asked me to arrange for my own visa. What do I do?	0	0	0.9954744
329913	456605	329542	How can one enter into universities of Germany?	How do I apply for universities in Germany?	1	0	0.6378404
317513	442718	442719	What are the things I need to know and the things I need to do to startup an automobile company in Africa?	What are the things I need to know and the things I need to do to startup an automobile company?	0	1	0.6854679
83498	141345	141346	Is there an app of some sort that allows you to view private profiles on instagram?	Does anyone know if there is an app or something like this that allows you to view private profiles on instagram?	0	0	0.9757401
99469	53472	165126	Why do men have this need to boast to a potential female lover, while women don't need to?	Why don't men ask their friends who are women to do activities together? Why do the women usually have to initiate an event or activity? Or is this a misconception?	0	0	0.978815
39121	70953	70954	"What is the meaning of the word ""arbitrary""?"	What does the word arbitrary mean?	1	0	0.9925452
373079	16782	66465	How do I grow taller? Some tips?	How do I grow taller in a hurry?	1	1	0.849706
300077	422828	422829	Is there any final score that it is mathematically impossible to achieve in a single game of bowling given the way scores are calculated?	Why do some people find bowling fun?	0	0	0.9906025
337804	465303	465304	How do you repair the front part of a train?	Are you interested in iOS traffic exchange?	0	1	0.67266214
377788	509126	509127	Will TCS cancel offer for campus placed students due to loss of US BFSI segments?	What will be the expected date of joining for TCS placed students through off campus 2016 recruitment held in March?	0	0	0.998599
72021	123837	123838	Why do I experience chest pain while I playing football (Soccer)?	Why I experience chest pain while I playing football?	0	0	0.9754927
362280	492187	492188	Do you think it is worth buying a gaming laptop over game consoles or desktop PCs?	Which is the best buy gaming laptop under 35k?	0	0	0.9848496
344683	73696	472941	What type of programming languages should I learn to be a successful web developer?	What programming languages should I learn to become a good web developer including both front end and back end?	1	0	0.92172843
360224	176075	489990	What is CNF in IRCTC?	What is dynamic fare in IRCTC?	0	0	0.9736511
180357	276546	276547	"What animals begin with the letter ""y""?"	"What is a list of animals that begin with the letter ""n""?"	0	0	0.9961366
355526	484770	484771	Who wins in a fight between Deathstroke and Captain America?	Who would win in a battle against Deathstroke the Terminator and Captain America?	1	0	0.608379
216301	322413	322414	Day by day, Indians are becoming famous for being chutiya people around the world. What should every Indian citizen do to stop the propagation of such negative stereotype?	Two people of Indian origin are in the race to be the next Microsoft CEO. Should India be proud or ashamed? Why?	0	0	0.8718639
258256	373755	373756	Have you seen Bigfoot?	Have you ever seen Bigfoot?	1	0	0.5849749
304268	391906	93782	What are the most interesting products and innovations that Spark Therapeutics is coming out with in 2016?	What are the most interesting products and innovations that United Therapeutics is coming out with in 2016?	0	0	0.9616562
163429	144520	42179	Which is a good solar panel installation provider near Meridian, California CA?	Which is a good solar panel installation provider near Agoura, California?	0	0	0.9711803
74388	127488	87698	How is career important in our life?	How is our career important in our life?	1	1	0.62799454
80037	42548	12132	From your perspective, what is the purpose of life?	What according to YOU is the purpose of life?	1	1	0.7642572
320278	445819	445820	Is India facing more stessful times and politically charged atmosphere when compared to Congress regime?	How do I remove arm hair naturally?	0	0	0.9900137
350866	88875	200692	How does it feel being raped?	Have you been raped?	1	1	0.725703
250200	299744	364013	How do I join the Indian Army as a doctor after doing my MBBS?	How do I join Indian army as a soldier after MBBS?	0	1	0.77454084
257834	373237	373238	Which is the cheapest microcontroller for making projects?	I've learned C to do microcontroller projects. What should I learn to do next?	0	0	0.82093513
268931	386582	386583	Who should regularly visit a gynecologist?	Google and Bing: Bing Ads Platform is looking more and more like Google Adwords platform everyday. Why doesn't Google sue Microsoft for copying them?	0	0	0.9901759
89790	150793	150794	Jelly bean update for samsung galaxy s advance in india?	How do you update a Samsung Galaxy S Advance to Jelly Bean in India?	1	1	0.5831328
33589	61684	61685	Is the magic done by magicians like Dynamo and Criss Angel real or is it just tricks? Does magic really exist?	How come Dynamo the magician is able to perform such unbelievable magic tricks?	0	0	0.79770863
221557	328929	328930	How does a steam turbine generator produce more electricity even though the frequency is kept constant?	Which passenger aircraft is the most fun to fly?	0	0	0.99761486
395949	50802	528974	Should I buy NFL tickets from StubHub now or wait? Why?	How do you buy tickets from someone over Facebook? It's for a concert.	0	0	0.7596669
8175	15943	15944	What is the conclusion of the movie Before we go?	What is the explanation for the ending of the movie Before We Go?	0	0	0.6960863
254244	368929	368930	What innovative name can I use for an interior designing firm?	What can i name my interior designing firm?	1	0	0.8007571
200446	302206	302207	Medical Conditions and Diseases: What role does the spleen play?	Which Chinese manufacturers produse reading glasses for Warby Parker?	0	0	0.9768844
376049	507160	6375	Where can rent PS4 game in Bengaluru?	Where can I rent PS4 games in Bangalore?	1	1	0.56968266
214988	320736	320737	Which questions are to be asked on Stack Overflow?	How do I ask a question on Stack Overflow?	0	0	0.6494161
340670	157881	468438	Who would win in a fight between Superman and the Flash?	Who would win in a fight between the Green Arrow and Superman?	0	0	0.56029195
265147	246103	382063	What's a funny, interesting, or creative way to introduce yourself?	How do you introduce yourself to more people at once?	0	0	0.7434934
370804	103508	501379	What is the origin of the Tall, Grande, and Venti nomenclature at Starbucks?	How much is a Venti Frap at Starbucks in San Francisco?	0	0	0.98220646
109824	177209	94460	Why does the sun rise in the east and set in the west but not the north and south?	Why does the Sun rise in the East and set in the West?	1	1	0.717933
200303	302030	302031	How do landlords qualify tenants?	How do landlords conduct background checks on tenants?	1	0	0.97494125
276936	395953	341421	Why is she flirting with me?	Is she flirting?	0	0	0.8292652
359063	13680	488665	What does semen taste like?	How do bugs taste?	0	0	0.84290636
344592	268654	105050	What are some must-read books for computer science undergrads?	What books would you suggest for a computer science undergraduate?	1	1	0.51116586
287043	407726	407727	Were the accusations against Pablo Escobar ever proved?	How much does Apple spend to maintain iMessage servers and infrastructure annually?	0	0	0.73369676
155080	243023	243024	What is macros?	What is macro?	0	0	0.7351189
327439	453859	453860	Is there any science-backed criticism on Jonathan Haidt's moral foundations theory?	Does one have a moral right to take knowledge that you have ingested and put it back out?	0	0	0.99530137
142443	180850	225895	Who will win the 25th match between Australia and Bangladesh in the 2016 Kabaddi World Cup?	Who will win the 5th match between India and Australia in the 2016 Kabaddi World Cup?	0	1	0.9912914
204679	307644	307645	I am a doctor.Simultaneously I also want to do law. How should I proceed?	How is it for a vegetarian bachelor to move from Bengaluru and start living in Trivandrum without knowing Malayalam a bit?	0	0	0.99497604
73081	125452	125453	What is the difference between to and for?	"What is the difference between ""to"" and ""into""?"	0	0	0.9747148
139176	221451	221452	Does Apple hire international students for software engineering internships positions? Does it hire from MENA?	Does Tumblr hire software engineering interns?	0	0	0.96764386
284678	404980	145798	I keep dreaming that my husband is cheating on me or is leaving me. What does that mean in reality?	In dream I saw my crush taking me out on date and being intimate with me. Does this mean I am thinking too much about that person? And is this a bad thing?	0	0	0.9759604
296802	419071	419072	What is the best way to unshrink merino wool?	What is merino wool?	0	0	0.9411197
401550	534955	534956	Where can I learn Raspberry Pi?	Which should Raspberry Pi should I learn?	0	1	0.7658851
157018	245604	618	How did you exactly break up from your ex?	Why and how did you break up with her/him?	1	0	0.5908001
160515	250307	250308	What is an ethernet cable? What are its functions?	What are Ethernet cables? What are its functions?	1	0	0.9734717
34791	63691	63692	What is the reason behind recent currency demonetisation?	Is India gonna face crisis due to the demonetisation of 500 and 1000 rupees currency notes?	0	0	0.8927418
320813	113682	446405	What is demonetization in India?	Is demonetization in India a good move?	0	1	0.6353612
328364	454883	454884	I don't know how to code but I want to start my own tech company. Should I take the time to learn how to code or just work with someone else?	I want to learn how to code, but I don’t know where to start nor which language to start with. Can someone provide assistance?	0	1	0.6459579
389024	521464	521465	Can you have the same Dream again by doing everything you did before you fell asleep?	If someone sexually stimulates you while you are asleep, do you dream about sex, and can you remain asleep until nearing an orgasm or remain asleep while orgasming?	0	1	0.7872408
368513	424208	20868	How did you get rid of your acne?	How can I get rid of my acne?	0	1	0.8303359
152309	91702	239309	What is the weirdest thing you have ever seen?	What is the weirdest thing you have seen someone do on a street?	0	0	0.5575255
19488	36822	36823	How do you stop being lazy?	What's an efficient way to overcome procrastination?	0	1	0.736806
383938	515933	515934	How many constitutional amendments have come to effect till date?	Constitution of India: What is a conational amendment?	0	0	0.8632886
246559	72864	359632	What is the difference between astrophysics and theoretical physics?	What are the differences between mathematical physics and theoretical physics?	0	0	0.98227465
168324	260770	260771	What is the difference between ramen and pho?	Where's the best Phở in Los Angeles?	0	0	0.9907492
139684	222150	132876	What are the least useful courses that people typically take for a degree in zoology?	What are the least useful courses that people typically take for a degree in archaeology?	0	0	0.98309547
208334	312303	312304	What does 'everything you love is well-arranged dust' mean?	What salary boost can I get in India, if I do MS in Computer science from USA after b.tech in cs in India?	0	0	0.9885352
94319	30277	21469	Is there any way to increase height after age of 20?	Is it possible to increase the body height after 20?	1	0	0.5153281
294427	416329	416330	How exactly does coffee help humans focus?	What exactly is coffee's effect on humans?	0	1	0.8226554
304372	40570	44398	Do you consider Edward Snowden a hero for freedom?	Is Edward Snowden a hero or a villain? Why?	1	0	0.671063
65723	114020	92076	What is the super best movie you recommend me to watch now? Your number 1 top list movies? Any kind (except horror)?	Which is the one movie you will recommend me to watch and why?	1	0	0.8044641
403645	296563	116933	How do I make money by doing affiliate marketing?	How much money can you make doing affiliate marketing?	1	1	0.94457656
154801	25820	145489	How can you lose weight quickly?	How should I reduce weight easily?	1	1	0.9832781
270778	388735	388736	What is a good introductory video on computational neuroscience?	Frustrated corporate last day mails?	0	0	0.88319397
131885	211326	211327	Which are the best bass guitar songs?	What do bassists think are the best bass guitars?	0	1	0.71301544
358234	132444	237496	What are the best short term courses in financial markets after graduation in economics?	What are the best short term courses for Economics graduate?	0	0	0.99326104
62713	109258	109259	How is your hostel life?	How's hostel life?	1	1	0.50902915
144063	228106	2068	What hotel in Binsar Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	What hotel in Shimla Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	0	0	0.9797823
69983	120698	31097	Is there any culture difference between U. S. and U. K.?	What is the biggest difference in British culture and American culture?	1	0	0.99100226
238957	350441	350442	Is it illegal to bring outside food into a movie theatre?	How much does a movie theatre owner makes in India?	0	0	0.6924709
370797	340456	28824	Where can I get very cost-effective envelope printing service in Sydney?	Where can I get very professional and reliable envelope printing service in Sydney?	1	0	0.7216086
363232	493200	493201	What is fascism (in simple words but in detail)?	What war was more brutal? World War I or World War II?	0	0	0.9827423
346917	475315	475316	What are extracurricular interests? What are examples of this?	What are examples of academic and extracurricular interests?	0	0	0.8991255
222759	330408	330409	What are some of the traffic rules in India that people don't follow/know about?	Why does people in Noida (INDIA) not adhere to the traffic rules?	0	0	0.92543495
47023	84013	84014	What are the names of all the people in this BuzzFeed video?	Why do some people dislike Buzzfeed?	0	0	0.5012652
358841	9044	488389	What is the chemical formula of nitrogen?	What is the chemical formula for hydrocarbon?	0	0	0.9820509
114391	186734	186735	How can you track a mobile phone in Canada?	How do I track mobile phone?	0	1	0.8220332
50183	89192	89193	Can anybody share the experience of the MDL interview for mechanical through GATE?	What is the GATE score required for the MDL?	0	0	0.99420184
312143	137130	152170	Which has been the biggest political scam in India till date?	What is the biggest scam in India?	1	0	0.9497658
236258	247693	347138	Can someone share AWS Certified Solutions Architect - Associate dumps?	Where can I get the latest questions of AWS Architect Solutions Professionals exam?	0	1	0.6618347
218822	325551	325552	How do I motivate myself to study for AIIMS?	How I can motivate myself for study?	0	0	0.7310282
273359	391815	391816	How do I get best thing out of waste?	What is the best thing to do out of waste?	1	1	0.85829103
1773	3530	3531	How do I improve the writings on Quora?	How can I improve my writing on Quora?	0	1	0.74343693
265856	382909	180499	What are the top 10 general knowledge-based apps on Android?	Which books should I read to improve my general knowledge?	0	0	0.75491834
331636	90833	458540	I forgot to cancel my Tatkal waiting list ticket. Will I get a refund? If it is, when will I get it?	How much time does it take to get refund of IRCTC cancelled ticket?	0	0	0.9718919
122926	198864	163282	Do South Indians think that North Indians are arrogant?	How do North Indians insult a South Indian?	0	1	0.87135655
355591	484830	484831	What is truvada?	How did the Hollywood culture got established?	0	0	0.9794033
341057	468846	468847	Which are.the best books for algebra and trigonometry?	Which is the best book for linear algebra for IITJAM maths?	0	0	0.9057646
103774	171454	171455	How can you determine the Lewis dot structure for sulfur trioxide?	How can you determine the Lewis dot structure for c2h5oh?	0	0	0.99807215
383188	56941	79403	What is the best laptop under INR 30,000?	What are the best laptops available under INR 30000 (30k)?	1	1	0.6702658
392354	236984	525041	Why are skateboard wheels so small?	Why are skateboard wheels different sizes?	0	1	0.5114768
39492	71579	71580	What are some unique business ideas?	What are some unique business ideas in pakistan?	0	0	0.74870247
374399	329151	70340	What is the weather in Orlando like on June, and how does it differ from the weather in August?	What is the weather in Orlando like in June?	0	0	0.9867791
199650	301196	301197	What basics are required to learn hadoop?	What are the basics I should know before learning hadoop?	1	1	0.55285054
302065	61018	17854	Why do people ask so many Googleable questions on Quora?	Why do people bother to ask questions on Quora they could just google to get the answer?	1	1	0.89324164
379196	510704	510705	What is the best mobile CPA affiliate network? How about YeahMobi?	What is the best mobile CPA affiliate network?	1	1	0.7865326
260729	88251	376728	How do I prepare for accenture campus interview?	How should I prepare for Accenture off campus interview?	0	0	0.56552273
393085	525842	525843	What are the disadvantages of linked lists?	What are some advantages of linked lists?	0	1	0.5711449
361014	206979	99833	What guarantees are there that the new 500 and 2000 INR can't be duplicated given the quality of the notes?	What are the security features of a new Rs. 500 and Rs. 2000 notes?	1	1	0.8391598
166751	115349	258674	Who has seriously taken advice from people on Quora, and what was the result of doing so?	I am having a white discharge for 8 years. How to cure this and what are the symptoms?	0	0	0.51939756
144907	229219	229220	What are GitHub and Git? What are their uses?	How do I use Git in Ubuntu?	0	0	0.95210004
106487	175396	18703	What's your favorite James Bond film?	What is your favorite James Bond movie and why?	1	1	0.63152987
117248	190811	186584	What are the roles and responsibilities of a windows server support engineer?	What are the roles and responsibilities of a desktop support engineer?	0	0	0.9387286
198732	300036	224816	If we sent robots to another planet and they had a few cells of human DNA on them could these develop over millions of years into humans?	If within hundred of years, man could create new breeds, could not nature have done the same over millions of years?	0	0	0.9244238
24039	44968	44969	Who are the people with the most followers on Quora?	Who is the most followed person on Quora?	1	0	0.6617171
353335	482369	482370	What exactly is digital art?	What are the digital arts?	1	1	0.5851085
7151	13981	13982	Do you need to travel to set up an offshore account?	What would happen if I steal a whole bank like in Fast Five?	0	0	0.5218949
201080	209090	18600	What are your views on the design of India's new ₹500 and ₹2000 notes?	What do you think of the design of the new ₹500 and ₹2000 notes?	1	0	0.75815916
90797	152307	152308	What is the expectation-maximization (EM) algorithm?	What is an intuitive explanation for the expectation maximization (EM) algorithm?	1	0	0.99605536
152013	167342	238919	How do I hide my likes and comments from my friends on Facebook?	"How do you stop Facebook from showing your friends every time you ""Like"" a page?"	0	1	0.50598484
95969	159935	159936	What does 84-2-1 code mean?	What is the 5-4-2-1 code?	0	0	0.9869026
263663	380247	380248	How many Ibps clerical attempts are there for general category?	How many questions should a person attempt in the IBPS Po exam to score well?	0	0	0.9964405
339480	153469	467142	What are good performance metrics on a gym rowing machine?	What's the ideal weight curve on a rowing machine?	0	0	0.61776286
207419	311090	311091	What are Hindus collectively doing wrong?	What is it that we as Indian Hindus are collectively doing wrong?	1	0	0.80608183
404237	537890	537891	What are the reviews of SensoVision System?	Is Lothar Matthaus Germany's greatest footballer?	0	0	0.9859995
352147	481036	481037	What was the total time taken to frame & write the Indian Constitution?	What steps could be taken to develop the indian constitution?	0	0	0.9553471
268170	116690	385660	What did Steve Jobs study in college before dropping out?	Why did Steve Jobs drop out of college?	0	0	0.9187145
269453	387166	333500	What is it like to work at Virtusa Bangalore?	What is it like working for Virtusa?	0	0	0.6791513
303186	354882	234148	Why is the Indian government afraid of the truth by banning the Australia journalist report on India and China war in 1962 for over 50 years?	Why has India banned the Australia journalist’s report from publishing on the true India and China war in 1962 for over 50 years?	1	1	0.9379563
154515	194947	157063	How do I sign out of auora?	How do I log out on Quora?	1	0	0.9352678
381267	171897	384222	How do I become a conductor engineer?	How can I become a conductor?	0	0	0.799026
134228	214581	214582	What is the difference between metaphysics and aesthetics?	What is the difference between metaphysics and philosophy?	0	0	0.98590565
212289	7667	174169	Who should be blamed for the poor performance of India in Rio Olympics?	Why India is not performing in Rio Olympics?	1	0	0.9730872
362532	71485	64784	What’s it like working at Google?	What is it like to work at Google?	1	0	0.9011816
356278	53434	71948	How will abolishing rs.500 and rs.1000 notes reduce corruption and identifying black money?	Will banning 500 and 1000 notes can stop the black money?	1	1	0.89992666
51557	91428	91429	Who are the highest paid employees at WalMart?	Who's the highest paid employee in the world?	0	0	0.9647747
32015	58977	58978	How do I insert data in database using angularjs?	How do I insert values in database using spring?	0	0	0.93195635
387035	145838	34836	What is the value of human life?	What are the values of life?	1	1	0.5114038
156219	217251	244536	What are 10 letter words with no repeating letters?	"What is a four letter word that means ""to go in search of""?"	0	0	0.98920995
18864	35702	35703	What universities does Maxim Integrated recruit new grads from? What majors are they looking for?	What universities does CTS recruit new grads from? What majors are they looking for?	0	0	0.9933669
136401	80873	217640	How do I apply for PPF?	What is PPF?	1	0	0.9837077
214984	320731	320732	Does volatile and non volatile nature of materials depend on their chemical composition?	Is volatile and non volatile nature of materials depend on their chemical composition?	1	0	0.9983011
